C_CODI_CANDIDATO,CANDIDATO,NUMLISTA,TOTAL_VOTOS,departamento,partido
00000469,KAREN ROXANA ESQUERRE TUANAMA,6,462,ANCASH,FUERZA POPULAR
00000488,MARIO EUGENIO VEGA ANTONIO,1,690,ANCASH,UNION POR EL PERU
00000489,MARÍA DEL ROSARIO BULNES BOBADILLA,2,394,ANCASH,UNION POR EL PERU
00000490,  ,3,142,ANCASH,UNION POR EL PERU
00000491,ELSA ELVIRA CALDERON ALTAMIRANO,4,279,ANCASH,UNION POR EL PERU
00000492,CESAR ANTONIO TINTA ESPINOZA,5,427,ANCASH,UNION POR EL PERU
00000493,ELIZABETH ALFARO ESPINOZA,6,115,ANCASH,UNION POR EL PERU
00000745,OTILIO NOLBERTO RIOS VALDIVIEZO,1,"3,548",ANCASH,RENOVACION POPULAR
00000746,LOISA VICENTE VILCA,2,"2,292",ANCASH,RENOVACION POPULAR
00000747,  ,3,661,ANCASH,RENOVACION POPULAR
00000748,MARIA YAQUELI MONDRAGON GUEVARA,4,507,ANCASH,RENOVACION POPULAR
00000749,ANDRES PULIDO HUARANGA,5,"1,658",ANCASH,RENOVACION POPULAR
00000750,DIANE KARIN SAMAME CHINCHAY,6,136,ANCASH,RENOVACION POPULAR
00000506,MARIO MAXIMILIANO CALCINO VILLANUEVA,1,309,ANCASH,RENACIMIENTO UNIDO NACIONAL
00000507,YENY CAROL GRAU JAVIER,2,173,ANCASH,RENACIMIENTO UNIDO NACIONAL
00000508,EFRAIN SAUL CABANILLAS ORTEGA,3,100,ANCASH,RENACIMIENTO UNIDO NACIONAL
00000509,BETHZABE PAULINO MIRAVAL,4,32,ANCASH,RENACIMIENTO UNIDO NACIONAL
00000510,EDWIN JONATHAN VARGAS CASTRO,5,49,ANCASH,RENACIMIENTO UNIDO NACIONAL
00000511,  ,6,6,ANCASH,RENACIMIENTO UNIDO NACIONAL
00000751,ANTONIO JORGE CASANA ALENCASTRE,1,"5,831",ANCASH,PARTIDO DEMOCRATICO SOMOS PERU
00000752,FATIMA DEL PILAR RODRIGUEZ PIZARRO,2,"1,356",ANCASH,PARTIDO DEMOCRATICO SOMOS PERU
00000753,DEAVIS ROD VALERA MORILLO,3,"1,528",ANCASH,PARTIDO DEMOCRATICO SOMOS PERU
00000754,  ,4,337,ANCASH,PARTIDO DEMOCRATICO SOMOS PERU
00000755,RAFAEL RONALD POMA SOTELO,5,"2,156",ANCASH,PARTIDO DEMOCRATICO SOMOS PERU
00000756,ANA DOLORES JIMENEZ PEÑA,6,169,ANCASH,PARTIDO DEMOCRATICO SOMOS PERU
