total_votos,validos,conteo,hora,candidato,partido,departamento,provincia,distrito,ubigeo_reniec,ubigeo_inei,region,departamento_id,provincia_id,distrito_id,nombre,nro,total
26297,27.063,100,14:28 h - 12/04/2021,Hernando de Soto,Avanza País,Lima,Lima,La Molina,140110,150114,lima,lima,lima,la molina,NA,NA,NA
22865,24.957,100,21:55 h - 12/04/2021,Hernando de Soto,Avanza País,Lima,Lima,San Miguel,140127,150136,lima,lima,lima,san miguel,NA,NA,NA
22417,31.571,100,12:21 h - 12/04/2021,Hernando de Soto,Avanza País,Lima,Lima,Miraflores,140115,150122,lima,lima,lima,miraflores,NA,NA,NA
21109,29.815,100,12:21 h - 12/04/2021,Hernando de Soto,Avanza País,Lima,Lima,San Borja,140140,150130,lima,lima,lima,san borja,NA,NA,NA
19939,13.559,100,16:00 h - 12/04/2021,Hernando de Soto,Avanza País,Lambayeque,Chiclayo,Chiclayo,130101,140101,lambayeque,lambayeque,chiclayo,chiclayo,NA,NA,NA
18697,15.38,99.842,21:55 h - 12/04/2021,Hernando de Soto,Avanza País,Lima,Lima,Santa Anita,140143,150137,lima,lima,lima,santa anita,NA,NA,NA
18326,11.597,100,17:30 h - 12/04/2021,Hernando de Soto,Avanza País,Lima,Lima,Puente Piedra,140119,150125,lima,lima,lima,puente piedra,NA,NA,NA
17862,17.99,100,18:57 h - 12/04/2021,Hernando de Soto,Avanza País,Arequipa,Arequipa,Cerro Colorado,040103,040104,arequipa,arequipa,arequipa,cerro colorado,NA,NA,NA
16788,11.933,100,17:30 h - 12/04/2021,Hernando de Soto,Avanza País,Lima,Lima,Carabayllo,140105,150106,lima,lima,lima,carabayllo,NA,NA,NA
16482,15.767,100,19:25 h - 12/04/2021,Hernando de Soto,Avanza País,Lima,Lima,La Victoria,140109,150115,lima,lima,lima,la victoria,NA,NA,NA
16336,16.327,97.101,21:55 h - 12/04/2021,Hernando de Soto,Avanza País,Lima,Lima,Rimac,140122,150128,lima,lima,lima,rimac,NA,NA,NA
15897,14.089,100,13:18 h - 12/04/2021,Hernando de Soto,Avanza País,Lima,Lima,Independencia,140134,150112,lima,lima,lima,independencia,NA,NA,NA
15112,10.99,99.871,21:55 h - 12/04/2021,Hernando de Soto,Avanza País,Callao,Callao,Ventanilla,240106,070106,callao,callao,callao,ventanilla,NA,NA,NA
14833,31.879,100,12:21 h - 12/04/2021,Hernando de Soto,Avanza País,Arequipa,Arequipa,Arequipa,040101,040101,arequipa,arequipa,arequipa,arequipa,NA,NA,NA
14813,30.084,100,17:30 h - 12/04/2021,Hernando de Soto,Avanza País,Arequipa,Arequipa,Jose Luis Bustamante Y Rivero,040129,040129,arequipa,arequipa,arequipa,jose luis bustamante y rivero,NA,NA,NA
14639,17.932,100,18:57 h - 12/04/2021,Hernando de Soto,Avanza País,Arequipa,Arequipa,Paucarpata,040109,040112,arequipa,arequipa,arequipa,paucarpata,NA,NA,NA
14035,24.463,100,19:25 h - 12/04/2021,Hernando de Soto,Avanza País,Lima,Lima,Pueblo Libre,140117,150121,lima,lima,lima,pueblo libre,NA,NA,NA
13659,14.953,100,20:52 h - 12/04/2021,Hernando de Soto,Avanza País,Junin,Huancayo,El Tambo,110113,120114,junin,junin,huancayo,el tambo,NA,NA,NA
13485,32.511,99.608,21:55 h - 12/04/2021,Hernando de Soto,Avanza País,Lima,Lima,San Isidro,140124,150131,lima,lima,lima,san isidro,NA,NA,NA
13298,23.872,100,14:28 h - 12/04/2021,Hernando de Soto,Avanza País,Lima,Lima,Jesus Maria,140133,150113,lima,lima,lima,jesus maria,NA,NA,NA
12545,22.915,100,12:21 h - 12/04/2021,Hernando de Soto,Avanza País,Lima,Lima,Surquillo,140131,150141,lima,lima,lima,surquillo,NA,NA,NA
12350,12.671,93.443,21:55 h - 12/04/2021,Hernando de Soto,Avanza País,Lima,Lima,El Agustino,140135,150111,lima,lima,lima,el agustino,NA,NA,NA
12080,21.94,99.627,21:55 h - 12/04/2021,Hernando de Soto,Avanza País,Arequipa,Arequipa,Cayma,040102,040103,arequipa,arequipa,arequipa,cayma,NA,NA,NA
11924,15.597,99.588,21:55 h - 12/04/2021,Hernando de Soto,Avanza País,Piura,Piura,Piura,190101,200101,piura,piura,piura,piura,NA,NA,NA
11283,14.515,100,21:55 h - 12/04/2021,Hernando de Soto,Avanza País,Ica,Ica,Ica,100101,110101,ica,ica,ica,ica,NA,NA,NA
