total_votos,validos,conteo,hora,candidato,partido,departamento,provincia,distrito,ubigeo_reniec,ubigeo_inei,region,departamento_id,provincia_id,distrito_id,nombre,nro,total
3177,10.062,96.414,21:55 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,Piura,Talara,Pariñas,190701,200701,piura,piura,talara,pariñas,NA,NA,NA
3156,8.486,100,19:57 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,Moquegua,Ilo,Ilo,170301,180301,moquegua,moquegua,ilo,ilo,NA,NA,NA
3110,7.394,99.184,21:55 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,Madre De Dios,Tambopata,Tambopata,160101,170101,madre-de-dios,madre-de-dios,tambopata,tambopata,NA,NA,NA
3081,11.997,100,17:30 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,Lima-Provincias,Huaral,Chancay,140805,150605,lima-provincias,lima-provincias,huaral,chancay,NA,NA,NA
3024,6.064,100,16:00 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,Cusco,Cusco,Santiago,070106,080106,cusco,cusco,cusco,santiago,NA,NA,NA
2951,12.751,92.537,21:55 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,Ica,Chincha,Pueblo Nuevo,100210,110207,ica,ica,chincha,pueblo nuevo,NA,NA,NA
2821,19.932,100,11:20 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,Lambayeque,Chiclayo,Pimentel,130110,140112,lambayeque,lambayeque,chiclayo,pimentel,NA,NA,NA
2817,8.03,100,16:00 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,Piura,Paita,Paita,190501,200501,piura,piura,paita,paita,NA,NA,NA
2811,9.448,100,11:50 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,Apurimac,Abancay,Abancay,030101,030101,apurimac,apurimac,abancay,abancay,NA,NA,NA
2726,8.666,80.392,21:55 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,Ucayali,Coronel Portillo,Yarinacocha,250102,250105,ucayali,ucayali,coronel portillo,yarinacocha,NA,NA,NA
2675,8.816,100,11:20 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,Ancash,Huaraz,Huaraz,020101,020101,ancash,ancash,huaraz,huaraz,NA,NA,NA
2646,8.149,100,11:20 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,Ancash,Huaraz,Independencia,020102,020105,ancash,ancash,huaraz,independencia,NA,NA,NA
2582,13.345,100,13:18 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,La Libertad,Trujillo,Moche,120104,130107,la-libertad,la-libertad,trujillo,moche,NA,NA,NA
2550,8.331,100,11:50 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,Arequipa,Arequipa,Jacobo Hunter,040127,040107,arequipa,arequipa,arequipa,jacobo hunter,NA,NA,NA
2550,8.252,98.696,21:55 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,Piura,Morropon,Chulucanas,190401,200401,piura,piura,morropon,chulucanas,NA,NA,NA
2502,10.537,100,21:55 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,Ica,Ica,Parcona,100104,110106,ica,ica,ica,parcona,NA,NA,NA
2407,6.333,91.544,21:55 h - 12/04/2021,Rafael López Aliaga,Renovación Popular,Loreto,Maynas,San Juan Bautista,150113,160113,loreto,loreto,maynas,san juan bautista,NA,NA,NA
