total_votos,validos,conteo,hora,candidato,partido,departamento,provincia,distrito,ubigeo_reniec,ubigeo_inei,region,departamento_id,provincia_id,distrito_id,nombre,nro,total
4807,18.717,100,17:30 h - 12/04/2021,Keiko Fujimori,Fuerza Popular,Lima-Provincias,Huaral,Chancay,140805,150605,lima-provincias,lima-provincias,huaral,chancay,NA,NA,NA
4790,15.726,100,11:50 h - 12/04/2021,Keiko Fujimori,Fuerza Popular,Lima-Provincias,Huaura,Huacho,140501,150801,lima-provincias,lima-provincias,huaura,huacho,NA,NA,NA
4738,15.194,100,21:55 h - 12/04/2021,Keiko Fujimori,Fuerza Popular,Ica,Pisco,Pisco,100401,110501,ica,ica,pisco,pisco,NA,NA,NA
4687,11.143,99.184,21:55 h - 12/04/2021,Keiko Fujimori,Fuerza Popular,Madre De Dios,Tambopata,Tambopata,160101,170101,madre-de-dios,madre-de-dios,tambopata,tambopata,NA,NA,NA
4642,19.549,100,21:55 h - 12/04/2021,Keiko Fujimori,Fuerza Popular,Ica,Ica,Parcona,100104,110106,ica,ica,ica,parcona,NA,NA,NA
4513,9.507,99.598,21:55 h - 12/04/2021,Keiko Fujimori,Fuerza Popular,Junin,Huancayo,Chilca,110108,120107,junin,junin,huancayo,chilca,NA,NA,NA
4510,7.861,100,19:25 h - 12/04/2021,Keiko Fujimori,Fuerza Popular,Lima,Lima,Pueblo Libre,140117,150121,lima,lima,lima,pueblo libre,NA,NA,NA
4446,30.124,100,11:50 h - 12/04/2021,Keiko Fujimori,Fuerza Popular,Piura,Piura,La Union,190106,200110,piura,piura,piura,la union,NA,NA,NA
4334,12.255,100,13:18 h - 12/04/2021,Keiko Fujimori,Fuerza Popular,Lima,Lima,San Luis,140138,150134,lima,lima,lima,san luis,NA,NA,NA
4291,16.914,100,11:20 h - 12/04/2021,Keiko Fujimori,Fuerza Popular,Lima-Provincias,Cañete,San Vicente De Cañete,140401,150501,lima-provincias,lima-provincias,cañete,san vicente de cañete,NA,NA,NA
4290,11.931,100,19:57 h - 12/04/2021,Keiko Fujimori,Fuerza Popular,Ica,Chincha,Chincha Alta,100201,110201,ica,ica,chincha,chincha alta,NA,NA,NA
4250,18.34,100,16:00 h - 12/04/2021,Keiko Fujimori,Fuerza Popular,Lima,Lima,Ancon,140102,150102,lima,lima,lima,ancon,NA,NA,NA
4242,14.946,99.329,21:55 h - 12/04/2021,Keiko Fujimori,Fuerza Popular,Callao,Callao,Carmen De La Legua-Reynoso,240104,070103,callao,callao,callao,carmen de la legua-reynoso,NA,NA,NA
4182,7.507,100,14:28 h - 12/04/2021,Keiko Fujimori,Fuerza Popular,Lima,Lima,Jesus Maria,140133,150113,lima,lima,lima,jesus maria,NA,NA,NA
4174,48.882,100,17:30 h - 12/04/2021,Keiko Fujimori,Fuerza Popular,Tumbes,Zarumilla,Zarumilla,230301,240301,tumbes,tumbes,zarumilla,zarumilla,NA,NA,NA
4148,20.427,100,10:43 h - 12/04/2021,Keiko Fujimori,Fuerza Popular,Lima-Provincias,Cañete,Imperial,140406,150507,lima-provincias,lima-provincias,cañete,imperial,NA,NA,NA
4072,26.555,100,11:50 h - 12/04/2021,Keiko Fujimori,Fuerza Popular,Piura,Sechura,Sechura,190801,200801,piura,piura,sechura,sechura,NA,NA,NA
4063,4.977,100,18:57 h - 12/04/2021,Keiko Fujimori,Fuerza Popular,Arequipa,Arequipa,Paucarpata,040109,040112,arequipa,arequipa,arequipa,paucarpata,NA,NA,NA
3991,38.01,98.571,21:55 h - 12/04/2021,Keiko Fujimori,Fuerza Popular,Piura,Sullana,Querecotillo,190606,200607,piura,piura,sullana,querecotillo,NA,NA,NA
3981,34.384,97.333,21:55 h - 12/04/2021,Keiko Fujimori,Fuerza Popular,Piura,Sullana,Marcavelica,190604,200605,piura,piura,sullana,marcavelica,NA,NA,NA
3953,55.574,100,17:30 h - 12/04/2021,Keiko Fujimori,Fuerza Popular,Tumbes,Zarumilla,Aguas Verdes,230304,240302,tumbes,tumbes,zarumilla,aguas verdes,NA,NA,NA
3892,3.92,100,18:57 h - 12/04/2021,Keiko Fujimori,Fuerza Popular,Arequipa,Arequipa,Cerro Colorado,040103,040104,arequipa,arequipa,arequipa,cerro colorado,NA,NA,NA
3817,9.556,98.291,21:55 h - 12/04/2021,Keiko Fujimori,Fuerza Popular,Huanuco,Huanuco,Huanuco,090101,100101,huanuco,huanuco,huanuco,huanuco,NA,NA,NA
3753,11.887,96.414,21:55 h - 12/04/2021,Keiko Fujimori,Fuerza Popular,Piura,Talara,Pariñas,190701,200701,piura,piura,talara,pariñas,NA,NA,NA
3742,10.619,100,19:57 h - 12/04/2021,Keiko Fujimori,Fuerza Popular,Callao,Callao,La Perla,240105,070104,callao,callao,callao,la perla,NA,NA,NA
3736,30.912,100,16:00 h - 12/04/2021,Keiko Fujimori,Fuerza Popular,Piura,Piura,La Arena,190105,200109,piura,piura,piura,la arena,NA,NA,NA
3725,22.448,100,11:20 h - 12/04/2021,Keiko Fujimori,Fuerza Popular,Lima-Provincias,Huaura,Santa Maria,140512,150810,lima-provincias,lima-provincias,huaura,santa maria,NA,NA,NA
3721,8.976,99.624,21:55 h - 12/04/2021,Keiko Fujimori,Fuerza Popular,Lima,Lima,Lince,140111,150116,lima,lima,lima,lince,NA,NA,NA
